id,latitude,longitude,address
21506,,,"Calle de Beniferri, 63, San Cristóbal, Madrid"
21504,40.3505829,-3.6871966,"LEONOR GONGORA, Los Rosales, Madrid"
21503,,,"Calle Santa Florencia, 15, Los Rosales, Madrid"
21500,40.3565045,-3.6928754,"Calle Ciudadanía, Los Rosales, Madrid"
21499,40.3516087,-3.6969212,"Calle Arechavaleta, Los Ángeles, Madrid"
21497,,,"Calle del Bismuto, 1, San Andrés, Madrid"
21496,40.3422441,-3.6858806,"Calle de Rocafort, San Cristóbal, Madrid"
21495,,,"Calle de Gregorio Ortiz, 31, San Andrés, Madrid"
21494,40.3437031,-3.6909081,"BENIFERRI, San Cristóbal, Madrid"
21493,40.35600685,-3.6938880510558985,"Paseo de Gigantes y Cabezudos, 42, Los Ángeles, Madrid"
21492,40.3441954,-3.6750091,"Calle Limonita, 6, Butarque, Madrid"
21491,40.349198,-3.6857459,"Azufre, 3, Los Rosales, Madrid"
21488,40.3474954,-3.6903199,"Calle del Estroncio, 11, Los Rosales, Madrid"
21483,40.3474954,-3.6903199,"Calle del estroncio, 11, Los Rosales, Madrid"
21481,,,"Calle el Huésped del Sevillano, Madrid, Los Ángeles, Madrid"
21480,,,"Calle Magnesia, 12 , bis, San Andrés, Madrid"
21479,,,"Calle del Talco, 85, San Andrés, Madrid"
21478,40.3431235,-3.6855057,"Calle de Rocafort, 14 j, San Cristóbal, Madrid"
21477,40.33938985,-3.6785247500000047,"maricara, Butarque, Madrid"
21472,40.3485658,-3.6847772,"Calle de Benimamet, 6, San Cristóbal, Madrid"
21471,,,"Calle de Sáhara, 89, Los Rosales, Madrid"
21470,,,"Urb. privada, Villaverde, Madrid"
21469,,,"COBALTO, 22, San Andrés, Madrid"
21468,,,"Avenida REAL DE PINTO, 41, San Andrés, Madrid"
21467,,,"Calle María de Echarri, Los Rosales, Madrid"
21466,,,"Calle Villastar, San Andrés, Madrid"
21465,,,"transversal sexta, 1, San Andrés, Madrid"
21464,,,"Urb. Calle de Burjasot, Villaverde, Madrid"
21462,,,"Gigante y Cabezudo, 70, Los Ángeles, Madrid"
21461,40.34316665,-3.6917148074871484,"Plaza Pinazo, San Cristóbal, Madrid"
21460,,,"Calle Doctor Pérez Domínguez s/n, San Andrés, Madrid"
21458,,,"Calle José del Pino Jiménez, San Andrés, Madrid"
21457,,,"Magnesia, 18, San Andrés, Madrid"
21455,,,"Calle la Canción del Olvido, Los Ángeles, Madrid"
21454,40.3437031,-3.6909081,"Calle Beniferri, San Cristóbal, Madrid"
21453,,,"Urb. Los Angeles, Villaverde, Madrid"
21451,40.3533289,-3.6910283,"Sahara, Los Rosales, Madrid"
21448,,,"Calle la Canción del Olvido, 43, Los Ángeles, Madrid"
21447,40.3597743,-3.6912572,"Generosidad, 14, Los Rosales, Madrid"
21445,40.3532352,-3.6899154,"Calle de Martinez Oviol, 40, Los Rosales, Madrid"
21444,,,"Calle de San Neviano, 1, San Andrés, Madrid"
21441,,,"Calle Salsipuedes, 25, San Andrés, Madrid"
21439,40.3431235,-3.6855057,"Calle de rocafort, 51, San Cristóbal, Madrid"
21438,,,"Urb. Platino, Villaverde, Madrid"
21437,40.3497332,-3.6941772,"Calle Ampuero, Los Ángeles, Madrid"
21435,,,"Calle del Grafito, Madrid, San Andrés, Madrid"
21434,40.3486538,-3.6846931,"Calle de Benimamet, Madrid, San Cristóbal, Madrid"
21429,,,"Calle Encarnación Oviol s/n, Los Rosales, Madrid"
21428,,,"Calle del Cobalto, 17, San Andrés, Madrid"
21426,40.3516003,-3.6926224,"Calle de Juan José Martínez Seco, 87, Los Rosales, Madrid"
21423,40.350523,-3.6877894,"Encarnación oviol, 45, Los Rosales, Madrid"
21422,40.3475755,-3.6771178,"Calle de Berrocal, 3, Butarque, Madrid"
21421,40.3478425,-3.6779511,"Calle Bario, 20, Butarque, Madrid"
21420,,,"cale concepcion de la oliva, Butarque, Madrid"
21419,,,"Paseo FERROVIARIOS, San Andrés, Madrid"
21418,,,"Calle de la Aladierna, San Andrés, Madrid"
21417,40.3384998,-3.6764999,"Calle Ganados del Salobral, 4, Butarque, Madrid"
21416,,,"Calle Villavendimio, 15, San Andrés, Madrid"
21415,,,"Calle de Albino Hernández Lázaro, San Andrés, Madrid"
