id,latitude,longitude,address,sq_mt_built,n_rooms,n_bathrooms,n_floors,sq_mt_allotment,floor,buy_price,is_renewal_needed,has_lift,is_exterior,energy_certificate,has_parking,neighborhood,district,house_type,Unnamed: 0,title,subtitle,sq_mt_useful,raw_address,is_exact_address_hidden,street_name,street_number,portal,is_floor_under,door,neighborhood_id,operation,rent_price,rent_price_by_area,is_rent_price_known,buy_price_by_area,is_buy_price_known,house_type_id,is_new_development,built_year,has_central_heating,has_individual_heating,are_pets_allowed,has_ac,has_fitted_wardrobes,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_furnished,is_kitchen_equipped,is_accessible,has_green_zones,has_private_parking,has_public_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east
3914,40.4212804,-3.7113384,"Calle Reloj, Madrid, Palacio, Madrid",64.0,2,1,1,0.0,2,340000,False,False,True,3,False,24,4,1,17828,"Piso en venta en calle Reloj, Madrid","Palacio, Madrid",,"Calle Reloj, Madrid",True,"Calle Reloj, Madrid",,,False,,Neighborhood 24: Palacio (4693.52 €/m2) - District 4: Centro,sale,1299,,False,5312,True,HouseType 1: Pisos,False,1900.0,False,True,,,True,,,,,,,,,,,,,,True,True,True,True
3907,40.4249468,-3.7019986,"CORREDERA ALTA DE SAN PABLO, Malasaña-Universidad, Madrid",94.0,2,2,1,0.0,1,540000,False,True,True,0,False,23,4,1,17835,Piso en venta en CORREDERA ALTA DE SAN PABLO,"Malasaña-Universidad, Madrid",,CORREDERA ALTA DE SAN PABLO,True,CORREDERA ALTA DE SAN PABLO,,,False,,Neighborhood 23: Malasaña-Universidad (5196.25 €/m2) - District 4: Centro,sale,1758,,False,5745,True,HouseType 1: Pisos,False,1900.0,False,True,,True,True,,,,True,True,,,,,,,,,,,,
3906,40.4276412,-3.7039488,"Divino Pastor, Malasaña-Universidad, Madrid",87.0,2,2,1,0.0,1,520000,False,True,True,0,False,23,4,1,17836,Piso en venta en Divino Pastor,"Malasaña-Universidad, Madrid",,Divino Pastor,True,Divino Pastor,,,False,,Neighborhood 23: Malasaña-Universidad (5196.25 €/m2) - District 4: Centro,sale,1712,,False,5977,True,HouseType 1: Pisos,False,1900.0,True,False,,,True,,,,,,,,,,,,,,False,False,True,False
3905,40.4098506,-3.6998767,"Calle Escuadra, Lavapiés-Embajadores, Madrid",104.0,4,1,1,0.0,3,360000,False,True,True,3,False,22,4,1,17837,Piso en venta en calle Escuadra,"Lavapiés-Embajadores, Madrid",102.0,Calle Escuadra,True,Calle Escuadra,,,False,,Neighborhood 22: Lavapiés-Embajadores (4448.3 €/m2) - District 4: Centro,sale,1346,,False,3462,True,HouseType 1: Pisos,False,,False,True,,,,,,,,,,,,,,,,,,,,
3904,40.4116688,-3.7066186,"Calle del Duque de Alba, Lavapiés-Embajadores, Madrid",147.0,3,1,1,0.0,3,460000,False,False,False,0,False,22,4,1,17838,Piso en venta en calle del Duque de Alba,"Lavapiés-Embajadores, Madrid",,Calle del Duque de Alba,True,Calle del Duque de Alba,,,False,,Neighborhood 22: Lavapiés-Embajadores (4448.3 €/m2) - District 4: Centro,sale,1576,,False,3129,True,HouseType 1: Pisos,False,,False,True,,,True,,,,,True,,,,,,,,,,,,
3903,40.4239401,-3.6997382,"farmacia, Chueca-Justicia, Madrid",108.0,3,2,1,0.0,-1,350000,False,True,True,3,False,20,4,1,17839,Piso en venta en farmacia,"Chueca-Justicia, Madrid",95.0,farmacia,True,farmacia,,,True,,Neighborhood 20: Chueca-Justicia (6029.36 €/m2) - District 4: Centro,sale,1323,,False,3241,True,HouseType 1: Pisos,False,1900.0,False,True,,,True,,,,,,,,,,,,,,False,False,True,False
3902,40.4194888,-3.7115241,"Calle de San Quintín, Palacio, Madrid",225.0,3,3,1,0.0,2,1200000,False,True,True,3,False,24,4,1,17840,Piso en venta en calle de San Quintín,"Palacio, Madrid",,Calle de San Quintín,True,Calle de San Quintín,,,False,,Neighborhood 24: Palacio (4693.52 €/m2) - District 4: Centro,sale,1900,,False,5333,True,HouseType 1: Pisos,False,,,,,,,,,,,True,,,,,,,,,True,False,False,False
3891,40.4250854,-3.7073585,"POZAS, Malasaña-Universidad, Madrid",78.0,1,1,1,0.0,3,495000,False,True,True,0,False,23,4,1,17851,Piso en venta en POZAS,"Malasaña-Universidad, Madrid",,POZAS,True,POZAS,,,False,,Neighborhood 23: Malasaña-Universidad (5196.25 €/m2) - District 4: Centro,sale,1655,,False,6346,True,HouseType 1: Pisos,False,1900.0,True,False,,True,True,,,,,,,,,,,,,,False,True,False,False
3889,40.4193384,-3.7080248,"Costanilla de los Ángeles, 16, Sol, Madrid",59.0,1,1,1,0.0,1,373000,False,True,True,3,False,25,4,1,17853,"Piso en venta en costanilla de los Ángeles, 16","Sol, Madrid",48.0,"Costanilla de los Ángeles, 16",False,Costanilla de los Ángeles,16,,False,,Neighborhood 25: Sol (5390.99 €/m2) - District 4: Centro,sale,1377,,False,6322,True,HouseType 1: Pisos,False,2008.0,False,True,,True,True,,,,,,,,,,,,,,,,,
3886,40.4254144,-3.7111224,"san bernardino, 15, Malasaña-Universidad, Madrid",121.0,6,6,1,0.0,1,1100000,False,True,True,0,False,23,4,1,17856,"Piso en venta en san bernardino, 15","Malasaña-Universidad, Madrid",114.0,"san bernardino, 15",False,san bernardino,15,,False,,Neighborhood 23: Malasaña-Universidad (5196.25 €/m2) - District 4: Centro,sale,2347,,False,9091,True,HouseType 1: Pisos,False,,False,True,,True,,,,,,,,,,,,,,,,,,
